Case,Kitab,Vol,Pg,Term,Reason,Mentioned?,Contrast,Lenience,Jurist For,Jurist Against,Qiyas Win,Salaf,,,,,,,,
426,59,11,299,i,,,e,n,,,,,,,,,,,,
427,59,11,305,i,ث,i,e,s,y,hm,,,,,,,,,,
428,59,11,306,i,),e,i,n,,,,,,,,,,,,
429,59,11,313,i,+,i,i,n,,,,,,,,,,,,
430,59,11,321,i,t,i,e,l,,,,,,,,,,,,
431,59,11,321,i,"""+@""",p,i,s,,,,,,,,,,,,
432,59,11,328,i,y,i,e,l,,,,,,,,,,,,
433,59,11,328,i,,,e,l,,,,,,,,,,,,
434,59,11,337,w,y,e,e,l,,,,,,,,,,,,
435,59,11,343,i,k,p,e,l,,,,,,,,,,,,
436,59,11,344,i,,,e,l,,,,,,,,,,,,
437,59,11,371,i,,,e,l,,,,,,,,,,,,
438,59,11,381,i,,,e,,,,,,,,,,,,,
439,59,11,381,i,|,,e,,,,,,,,,,,,,
440,59,11,384,i,ب,p,i,l,,,,,,,,,,,,
441,59,11,385,i,\,e,e,n,,,,,,,,,,,,
442,59,11,385,i,|,i,e,l,,,,,,,,,,,,
443,59,11,391,i,,e,e,n,ym,h,,,,,,,,,,
